cycle	parS^l	^part	pap	da	arS^l	
0	-0.01	-0.01	-0.01	-0.01	-0.01	
1	-0.01	-0.01	-0.01	-0.01	-0.01	
2	-0.01	-0.01	-0.01	-0.01	-0.01	
3	-0.01	-0.01	-0.01	-0.01	-0.01	
4	-0.01	-0.01	-0.01	-0.01	-0.01	
5	-0.01	-0.01	-0.01	-0.01	-0.01	
6	-0.01	-0.01	-0.01	-0.01	-0.01	
7	-0.008337756925779146	-0.00875331769433436	-0.008337756925779146	-0.01	-0.01	
8	-0.0019141032104520493	-0.002783842936725362	-0.0019141032104520493	-0.009171132611651143	-0.01	
9	0.008788660137391668	0.007366718630496963	0.008788660137391668	-0.006629723575652068	-0.01	
10	0.02091040824968322	0.020434625190808804	0.021301587195555083	-0.004340203778489737	-0.01	
11	0.03044138972765388	0.031047176416662842	0.03297271799550827	-0.004807504573809795	-0.01	
12	0.03552758948127946	0.03714475849911603	0.04248463096606747	-0.006559696459525329	-0.01	
13	0.039386732186444694	0.042030407448677524	0.051508983219330055	-0.009116962549983725	-0.01	
14	0.04436479364679467	0.04786165438232265	0.06201439144932346	-0.01	-0.01	
15	0.050775137465705375	0.054922060276333326	0.07438207522070382	-0.01	-0.01	
16	0.05798666136063246	0.06258152920006603	0.08808972397397571	-0.01	-0.01	
17	0.06535894626063518	0.07020939001925397	0.10232639684029368	-0.01	-0.01	
18	0.07256930317984567	0.07750249561665325	0.11626007397471316	-0.01	-0.01	
19	0.0803562230406951	0.0852598255611322	0.12958698077427477	-0.01	-0.01	
20	0.08921417928693805	0.0940559508932561	0.1418156343504393	-0.01	-0.01	
21	0.09901982411882854	0.1038163146425815	0.1524127198382636	-0.01	-0.01	
22	0.10961025984379609	0.11437302261847213	0.16114003256256954	-0.01	-0.01	
23	0.12028924803094919	0.12501277017607448	0.1678079596965081	-0.01	-0.01	
24	0.13047673526082043	0.13516113051896214	0.17240214835965526	-0.01	-0.01	
25	0.1397231548464797	0.1444030112623502	0.17499831228013782	-0.01	-0.01	
26	0.1486009053880608	0.15240312132647688	0.17564166912186588	-0.01	-0.01	
27	0.1584364486167936	0.15910117197478518	0.17448480321220458	-0.01	-0.01	
28	0.17021615467558587	0.1643887633860232	0.1715970616958385	-0.01	-0.01	
29	0.18352552788656706	0.16805591877614917	0.16695462197171754	-0.01	-0.01	
30	0.19800851433286862	0.17010994272386962	0.16064899101789026	-0.01	-0.01	
31	0.2136103743999534	0.1706867531604751	0.15286148126514154	-0.01	-0.01	
32	0.23170921201342615	0.16986990142966898	0.14418352048292074	-0.01	-0.01	
33	0.2526619236199032	0.16762318189741016	0.13502724681440556	-0.01	-0.01	
34	0.2765616197118984	0.1638681142598366	0.12543820316472726	-0.01	-0.01	
35	0.30310416283513486	0.15846755311452893	0.11544476299961773	-0.01	0.001675959993765737	
36	0.3314515163694244	0.15132357399710733	0.10510210968831994	-0.01	0.013846735724235676	
37	0.36177798483770257	0.14281592888045483	0.09450265596230081	-0.01	0.026286911332135385	
38	0.3941425932153458	0.13355690248490448	0.08369371301998008	-0.01	0.03952199776764474	
39	0.4282488822406958	0.12344636061299914	0.07264235524507219	-0.01	0.05357317452693178	
40	0.4631526061315811	0.11238248928142773	0.0613127082411966	-0.01	0.06732709174384535	
41	0.4978636880417826	0.10037392307526344	0.049732429129595676	-0.01	0.07955061473268292	
42	0.5315348779257048	0.08755561931390544	0.038001278466609244	-0.01	0.08921537852088808	
43	0.5635093615741763	0.07408257792376408	0.026215529477496106	-0.01	0.09568403191328465	
44	0.5933429037759068	0.060125251909398	0.01446727961812991	-0.01	0.09864816956495549	
45	0.6207793255276313	0.045876349792189915	0.0028558450881925176	-0.01	0.09810107171335403	
46	0.6457161164862301	0.03154475362202845	-0.008514850712810395	-0.01	0.09435161766295463	
47	0.6681383136485162	0.017317734078813457	-0.01	-0.01	0.08860464227358401	
48	0.6879942046798698	0.003316198653223428	-0.01	-0.01	0.08189900935417445	
49	0.7053328052901848	-0.01	-0.01	-0.01	0.07437052200877792	
50	0.7202998209319227	-0.01	-0.01	-0.01	0.06619892709715233	
51	0.733094904088675	-0.01	-0.01	-0.01	0.057571740935414215	
52	0.7439076862199032	-0.01	-0.01	-0.01	0.04863695107748691	
53	0.7529504944183142	-0.01	-0.01	-0.01	0.0395127880259777	
54	0.7604618269876546	-0.01	-0.01	-0.01	0.03030114390973132	
55	0.7666419923093994	-0.01	-0.01	-0.01	0.021084308919243136	
56	0.7716959224515988	-0.01	-0.01	-0.01	0.01196581954347594	
57	0.7758066559229392	-0.01	-0.01	-0.01	0.0030312756156087857	
58	0.7791517983991707	-0.01	-0.01	-0.01	-0.00562509504396611	
59	0.7818793679871056	-0.01	-0.01	-0.01	-0.01	
60	0.7841076440772292	-0.01	-0.01	-0.01	-0.01	
61	0.785921395143366	-0.01	-0.01	-0.01	-0.01	
62	0.7873852251880739	-0.01	-0.01	-0.01	-0.01	
63	0.7885483266744477	-0.01	-0.01	-0.01	-0.01	
64	0.7894490070469794	-0.01	-0.01	-0.01	-0.01	
65	0.7901170566619125	-0.01	-0.01	-0.01	-0.01	
66	0.7905763760720226	-0.01	-0.01	-0.01	-0.01	
67	0.7908439360222939	-0.01	-0.01	-0.01	-0.01	
68	0.7909331139541075	-0.01	-0.01	-0.01	-0.01	
69	0.7908568140351674	-0.01	-0.01	-0.01	-0.01	
70	0.7906271063609595	-0.01	-0.01	-0.01	-0.01	
71	0.7902552778166998	-0.01	-0.01	-0.01	-0.01	
72	0.7897519172659014	-0.01	-0.01	-0.01	-0.01	
73	0.7891269758106044	-0.01	-0.01	-0.01	-0.01	
74	0.7883898210028408	-0.01	-0.01	-0.01	-0.01	
75	0.7875489756262125	-0.01	-0.01	-0.01	-0.01	
76	0.7866132701869564	-0.01	-0.01	-0.01	-0.01	
77	0.7855915434326465	-0.01	-0.01	-0.01	-0.01	
78	0.7844919301417019	-0.01	-0.01	-0.01	-0.01	
79	0.7833219071525017	-0.01	-0.01	-0.01	-0.01	
80	0.7821193149327682	-0.01	-0.01	-0.01	-0.01	
81	0.7808929398244532	-0.01	-0.01	-0.01	-0.01	
82	0.7796395501474878	-0.01	-0.01	-0.01	-0.01	
83	0.7783750229268581	-0.01	-0.01	-0.01	-0.01	
84	0.7771400197182357	-0.01	-0.01	-0.01	-0.01	
85	0.7759591158759837	-0.01	-0.01	-0.01	-0.01	
86	0.7748128705173514	-0.01	-0.01	-0.01	-0.01	
87	0.7736868816586183	-0.01	-0.01	-0.01	-0.01	
88	0.7725707000593312	-0.01	-0.01	-0.01	-0.01	
89	0.7714570806145785	-0.01	-0.01	-0.01	-0.01	
90	0.7703408778970121	-0.01	-0.01	-0.01	-0.01	
91	0.7692477761810974	-0.01	-0.01	-0.01	-0.01	
92	0.7681803385925957	-0.01	-0.01	-0.01	-0.01	
93	0.7671268055884003	-0.01	-0.01	-0.01	-0.01	
94	0.766078466171727	-0.01	-0.01	-0.01	-0.01	
95	0.7650289077981215	-0.01	-0.01	-0.01	-0.01	
96	0.7639734498961672	-0.01	-0.01	-0.01	-0.01	
97	0.7629087144164035	-0.01	-0.01	-0.01	-0.01	
98	0.7618322997018181	-0.01	-0.01	-0.01	-0.01	
99	0.7607425327079381	-0.01	-0.01	-0.01	-0.01	
100	0.7596382808162861	-0.01	-0.01	-0.01	-0.01	

